Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5xv5spI4IhvZnpEArOQ7Vi,"賊","賊","Penny Tai",2016-08-13,219378,0,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-22T17:42:12Z,"mandopop,taiwanese pop,c-pop","Earth Entertainment",0.61,0.786,8,-5.335,0,0.062,0.114,0,0.114,0.707,119.923,4
spotify:track:2mjJn3jZaam3Z7qgtKMNrq,"謝謝妳愛我","要你知道","R-chord",2016-08-26,227333,54,true,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-22T17:42:25Z,"mandopop,taiwanese pop,c-pop,chinese rock","WM Taiwan",0.463,0.742,7,-5.108,1,0.0344,0.0078,0.00000497,0.113,0.78,180.022,4
spotify:track:43M53Gz79kTHuFwTG1F0td,"虹之间 - 完整版","I Believe 爱不离","Joshua Jin",2014-10-30,246388,40,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-22T17:42:43Z,"mandopop,c-pop,gufeng","Sony Music Entertainment",0.493,0.354,10,-10.643,1,0.0264,0.82,0.000075,0.1,0.253,139.858,4
spotify:track:4ytcw9hrBeDMMlfQCMmjRY,"蝴蝶泉边","崽崽","Huang Yali",2006-12-19,245185,0,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-22T17:42:53Z,"gufeng,mandopop,c-pop","天娱传媒",0.51,0.621,11,-5.45,1,0.036,0.504,0,0.132,0.324,143.92,4
spotify:track:0gBcdyxujtoRBqmm5ys3DG,"花心 - Live","张碧晨2018北京极光演唱会 (Live)","Zhang Bichen",2018-10-24,250205,0,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-22T17:43:21Z,"gufeng,mandopop,c-pop","梦响当然",0.39,0.405,1,-9.242,1,0.0358,0.831,0.00000175,0.804,0.295,82.768,4
spotify:track:2kmwkxaPjSwJ1fe7SFROTs,"綠光","風箏","Stefanie Sun",2001,191560,55,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-22T17:43:53Z,"mandopop,taiwanese pop,c-pop,malay pop,cantopop","WM Taiwan",0.589,0.874,3,-4.971,1,0.0766,0.107,0,0.0978,0.417,106.017,4
spotify:track:17N5sJg46rDPKCGj0pKhGl,"你是我心内的一首歌","改變自己","Leehom Wang",2007-07-13,166693,0,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-22T17:44:31Z,"mandopop,c-pop,taiwanese pop,chinese r&b,malay pop","Homeboy music, Ltd",0.538,0.527,6,-6.813,1,0.0271,0.186,0,0.105,0.595,181.691,4
spotify:track:7ovUSP7jWkzWR2SHptYJfd,"你被寫在我的歌裡","你在煩惱什麼","sodagreen;Ella Chen",2011-11-11,275493,55,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-22T17:44:46Z,"mandopop,taiwanese pop,c-pop,malay pop,chinese rock,taiwanese indie","F67林暐哲音樂社",0.35,0.529,1,-7.86,1,0.0343,0.748,0,0.237,0.503,203.561,4
spotify:track:3v2HEpwVgra20Iy6kZ9AWQ,"我的歌声里 (You Exist In My Song)","Everything In The World","Wanting",2012-04-24,214720,63,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-22T17:44:51Z,"mandopop,c-pop,taiwanese pop","Nettwerk Music Group",0.475,0.477,6,-6.346,1,0.0345,0.686,0,0.111,0.241,137.199,4
spotify:track:5DSF1VTSaaAFIesJLlltuM,"紅色高跟鞋","若你碰到他","Tanya Chua",2009-08-19,206586,65,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-22T17:45:08Z,"mandopop,taiwanese pop,c-pop,malay pop","AsiaMuse Entertainment Co., Ltd.",0.476,0.659,11,-4.898,0,0.0251,0.104,0,0.232,0.492,176.018,4
spotify:track:1BIA7EdHFdfY6fOycB18Bm,"太阳","2021中国好声音 第11期","姚晓棠",2021-10-05,266080,0,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-22T17:45:55Z,"mandopop,c-pop,gufeng,chinese r&b","梦响强音",0.492,0.628,7,-4.645,1,0.035,0.82,0,0.0798,0.392,124.053,4
spotify:track:4OXK3T9fE2lQuCyGVNQQaz,"畫心II(《畫皮II》電影主題曲)","感謝","Jane Zhang",2013-06-25,362027,0,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-22T17:46:33Z,"gufeng,mandopop,c-pop","Music Stream",0.333,0.399,1,-10.588,0,0.0358,0.725,0.0000319,0.295,0.205,138.985,4
spotify:track:2uHMTG5xr9Xk7MrXIWrVUH,"玫瑰少年","Ugly Beauty","JOLIN",2018-12-25,191718,54,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-22T17:46:50Z,"mandopop,c-pop,taiwanese pop,malay pop","Eternal Music Production Company Ltd",0.648,0.716,10,-6.657,0,0.0401,0.0577,0.0000216,0.09,0.287,98.014,4
spotify:track:1bkdJsC4ZWDo8j8ekJWMeD,"煎熬","感謝愛人","Jess Lee",2011-09-16,262026,61,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-22T17:47:33Z,"mandopop,taiwanese pop,c-pop","WM Taiwan",0.379,0.39,11,-6.597,1,0.0299,0.465,0.00000614,0.0943,0.154,139.197,4
spotify:track:4volu0Jb4nW1NBPpx3Ivit,"煙火裡的塵埃","卡西莫多的禮物","Hua Chen Yu",2014-09-19,321720,0,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-22T17:47:45Z,"c-pop,mandopop,chinese rock,chinese hip hop,malay pop","天娱传媒",0.528,0.614,2,-6.329,0,0.0262,0.307,0.0000118,0.108,0.187,95.008,4
spotify:track:5ZfYbZvrHU1YgSbnsPXdg2,"勇氣","戀愛的力量","Fish Leong",2003-11-22,239001,46,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-22T17:49:45Z,"mandopop,taiwanese pop,c-pop,malay pop","Rock Records Co., Ltd.",0.647,0.406,5,-7.82,1,0.028,0.786,0,0.0986,0.258,115.895,4
spotify:track:3uIV4x3gmvUvt6qEWVVWJZ,"飄洋過海來看你","飄洋過海來看你","Fish Leong;Eve Ai",2020-05-01,283440,44,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-22T17:48:02Z,"mandopop,taiwanese pop,c-pop,malay pop,chinese indie","Universal Music Taiwan",0.466,0.424,9,-8.679,0,0.0366,0.732,0,0.203,0.257,119.823,4
spotify:track:5rXBmcYNJYMYdhwxlMLh0s,"有何不可","自定義","許嵩",2008-12-30,240027,57,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-22T17:48:35Z,"gufeng,c-pop,mandopop","Ocean Butterflies",0.549,0.521,6,-6.119,1,0.0374,0.472,0.00000196,0.0978,0.771,202.017,4
spotify:track:5tzgLJeeNHz7NNRWhR1L35,"暖暖","親親","Fish Leong",2006-10-06,243160,58,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-22T17:48:45Z,"mandopop,taiwanese pop,c-pop,malay pop","Bin Music International Limited",0.666,0.599,11,-7.196,1,0.0264,0.741,0,0.351,0.645,104.039,4
spotify:track:3uZZAsy8EoCOnizxNCxmxm,"我最親愛的","你在看我嗎","A-Mei Chang",2011-04-23,284040,0,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-22T17:50:14Z,"mandopop,taiwanese pop,c-pop,malay pop","Universal Music Taiwan",0.431,0.486,4,-6.768,1,0.0285,0.566,0,0.112,0.2,141.822,4
spotify:track:1JLtvvPsHwLyd2ufASdkWV,"感谢你曾来过","感谢你曾来过","阿涵;Ayo97",2017,250005,66,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-22T17:50:56Z,"mandopop,c-pop,gufeng,chinese r&b","汇音文化",0.481,0.795,8,-5.097,1,0.0408,0.0782,0,0.1,0.332,160.02,4
spotify:track:69zgyr5HVKdInjeKpq1qHa,"想見你想見你想見你 - 電視劇《想見你》片尾曲","想見你想見你想見你 (電視劇《想見你》片尾曲)","831",2019-11-11,239794,67,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-22T17:51:02Z,"mandopop,taiwanese pop,c-pop,chinese rock","Rock Records Co., Ltd.",0.547,0.666,6,-5.694,1,0.0393,0.4,0,0.144,0.43,129.814,4
spotify:track:4KBegMBVyHsfC7fPOztTzV,"情非得已","海嘯","Harlem Yu",2001-05-10,273960,66,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-22T17:51:30Z,"mandopop,taiwanese pop,c-pop","Columbia",0.686,0.48,9,-7.59,0,0.0241,0.436,0,0.0879,0.729,106.908,4
spotify:track:1R4nUHJeX005LSpuRakYBD,"恋人未满","女生宿舍","S.H.E",2001-09-11,276760,51,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-22T17:51:40Z,"mandopop,taiwanese pop,c-pop,malay pop","HIM",0.749,0.69,5,-6.559,1,0.0489,0.607,0,0.147,0.328,115.928,4
spotify:track:4Qzuh2Jp6MlIGjQPtYbZqi,"快乐星猫","越长大越孤单","牛奶@咖啡",2008-03-24,194160,0,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-22T17:51:55Z,"c-pop,mandopop","摩登天空",0.543,0.866,2,-4.925,1,0.0689,0.468,0,0.0236,0.453,159.976,4
spotify:track:3ZgVgjdWValQ4LbxfQuSqm,"彩虹","20 新歌duet精選","Power Station",2016-12-09,279385,32,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-22T17:52:29Z,"mandopop,taiwanese pop,chinese rock,c-pop","HIM International Music Inc.",0.496,0.524,11,-7.331,1,0.0271,0.419,0,0.0846,0.298,99.03,4
spotify:track:1ZeVIrCWzEmsJexkrgvjFv,"小幸運","小幸運","Hebe Tien",2015-07-10,265521,65,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-22T17:52:47Z,"mandopop,c-pop,taiwanese pop,malay pop","HIM International Music Inc.",0.519,0.412,0,-8.584,1,0.0365,0.75,0,0.101,0.506,157.916,4
spotify:track:6oUC0SXCxnjYl2HyPat8lx,"寧夏","燕尾蝶<下定愛的決心>","Fish Leong",2004-09-10,209655,51,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-22T17:53:01Z,"mandopop,taiwanese pop,c-pop,malay pop","Rock Records Co., Ltd.",0.434,0.546,6,-6.881,1,0.0277,0.58,0,0.0839,0.256,166.007,4
spotify:track:47qkmo2smLRBNlbzDEwZHS,"如果的事","一比一","Christine Fan;Angela Chang",2005-06-03,228520,52,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-22T17:53:14Z,"mandopop,taiwanese pop,c-pop,malay pop","Linfair",0.592,0.469,2,-7.668,1,0.0293,0.828,0,0.198,0.558,129.959,4
spotify:track:5QDtvGMd79rWnZNCiXbjkL,"如果這就是愛情","我相信","Jane Zhang",2010-02-02,282760,0,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-22T17:53:24Z,"gufeng,mandopop,c-pop","Music Stream",0.712,0.488,8,-8.354,1,0.0331,0.45,0,0.0823,0.403,75.963,4
spotify:track:02K5L2D21TVIINipDIPEfA,"千里之外","依然范特西","Jay Chou",2006-09-05,254373,0,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-23T09:04:02Z,"mandopop,c-pop,taiwanese pop,gufeng,malay pop,cantopop,chinese r&b","JVR",0.686,0.547,2,-6.461,1,0.0301,0.343,0,0.0944,0.169,117.966,4
spotify:track:7JWoMpoxEl3pZ2CLZxM6ms,"天空之外","天空之外","解语花",2020-01-19,367191,0,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-22T17:53:42Z,"mandopop,c-pop","嗨库文化",0.617,0.22,6,-13.004,1,0.0301,0.58,0.00483,0.42,0.243,124.99,4
spotify:track:6IiNb2jhlDKd2djOqfw6v3,"天空之外 (電視劇《陪你到世界之巔》片尾曲)","電視劇《陪你到世界之巔》音樂原聲帶","Xian Zi",2019-06-19,297948,41,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-22T17:53:49Z,"mandopop,c-pop,gufeng,taiwanese pop,chinese r&b","BEIJING YUM MUSIC CULTURAL CO.,LTD",0.538,0.508,3,-6.993,1,0.033,0.275,0.00000172,0.106,0.166,80.045,4
spotify:track:4D0KlK4Fl8lotvsoys1bYQ,"天后","再愛一遍‧天后陳勢安","Andrew Tan",2011-11-11,289400,66,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-22T17:54:04Z,"mandopop,taiwanese pop,c-pop,malay pop","Linfair",0.46,0.643,9,-5.903,1,0.0309,0.199,0,0.0917,0.286,160.044,4
spotify:track:3VsqVo7lHy1hN1CwlXlW3P,"大城小愛","蓋世英雄","Leehom Wang",2005-12-30,224981,0,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-22T17:54:15Z,"mandopop,c-pop,taiwanese pop,chinese r&b,malay pop","Homeboy music, Ltd",0.736,0.515,4,-8.542,0,0.0318,0.689,0,0.125,0.501,131.483,4
