Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:69BIczdH6QMnFx7dsSssN8,"DDU-DU DDU-DU","SQUARE UP","BLACKPINK",2018-06-15,209355,69,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2023-05-14T15:02:35Z,"k-pop","YG Entertainment",0.671,0.859,4,-3.922,0,0.0833,0.0313,0,0.267,0.39,139.931,4
spotify:track:4pi0Elz7B7cLfw37J3bYm9,"Growl","The 1st Album 'XOXO' (Repackage)","EXO",2013-08-05,207053,70,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2023-05-14T15:05:36Z,"k-pop","SM Entertainment",0.681,0.814,11,-2.83,0,0.0603,0.145,0,0.556,0.876,89.993,4
spotify:track:0RDqNCRBGrSegk16Avfzuq,"Talk that Talk","BETWEEN 1&2","TWICE",2022-08-26,177466,69,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2023-05-14T15:05:59Z,"k-pop","Republic Records - TWICE",0.772,0.907,3,-2.438,0,0.124,0.136,0,0.334,0.783,119.973,4
spotify:track:4DYIDSMIB5y2UmZFv9fxeX,"Dance The Night Away","Summer Nights","TWICE",2018-07-09,180800,69,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2023-05-14T15:07:38Z,"k-pop","Republic Records - TWICE",0.709,0.861,0,-2.905,1,0.0941,0.106,0.0000473,0.113,0.779,118.089,4
spotify:track:1Rrj7KyS2R6SP9CQMDJW1w,"VERY NICE","Love&Letter","SEVENTEEN",2016-07-04,192092,69,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2023-05-14T15:09:58Z,"k-pop","PLEDIS ENTERTAINMENT",0.746,0.898,3,-2.818,0,0.0725,0.0526,0,0.0858,0.879,121.967,4
spotify:track:6I2tqFhk8tq69iursYxuxd,"HOT","Face the Sun","SEVENTEEN",2022-05-27,197586,70,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2023-05-14T15:10:07Z,"k-pop","PLEDIS Entertainment",0.765,0.777,5,-4.376,0,0.0399,0.0539,0.00000258,0.338,0.64,111.944,4
spotify:track:6KiEF5zqzHiFjzdm8gChz7,"KNOCK","Over The Moon","LEE CHAEYEON",2023-04-12,173080,21,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2023-05-14T15:10:13Z,"k-pop","Genie Music Corporation, Stone Music Entertainment",0.81,0.734,9,-1.784,1,0.035,0.000545,0.00000625,0.055,0.935,138.945,4
spotify:track:5QGooKayQPVZMUDc8Qt3Dm,"Left & Right","Heng:garæ","SEVENTEEN",2020-06-22,201773,63,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2023-05-14T15:10:27Z,"k-pop","PLEDIS Entertainment",0.726,0.829,6,-3.876,0,0.111,0.146,0,0.0916,0.95,149.994,4
spotify:track:3tgWMPOY4stCdKYj5NjrAe,"F*ck My Life","FML","SEVENTEEN",2023-04-24,202280,58,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2023-05-14T15:10:34Z,"k-pop","PLEDIS Entertainment",0.736,0.685,5,-4.762,1,0.0604,0.0849,0,0.0955,0.857,80.022,4
spotify:track:3AOf6YEpxQ894FmrwI9k96,"Super","FML","SEVENTEEN",2023-04-24,200386,72,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2023-05-14T15:10:44Z,"k-pop","PLEDIS Entertainment",0.771,0.88,8,-4.091,1,0.0857,0.162,0.00000141,0.167,0.347,137.018,4
spotify:track:7eBpUuPnDTfbeP1P4P93CS,"Fighting (Feat. Lee Young Ji)","SECOND WIND","BSS;Lee Young Ji",2023-02-06,204466,66,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2023-05-14T15:10:59Z,"k-pop,k-rap","PLEDIS Entertainment",0.707,0.86,11,-2.935,0,0.191,0.103,0,0.0989,0.922,152.026,4
spotify:track:2WTHLEVjfefbGoW7F3dXIg,"Girls","Girls - The 2nd Mini Album","aespa",2022-07-08,240440,61,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2023-05-14T15:11:29Z,"k-pop","SM Entertainment / Warner Records",0.57,0.974,3,-0.173,0,0.325,0.115,0.000594,0.125,0.65,171.958,4
spotify:track:3dbLT62Cvs46Ju7a8gpr36,"Savage","Savage - The 1st Mini Album","aespa",2021-10-05,238143,67,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2023-05-14T15:11:34Z,"k-pop","SM Entertainment",0.727,0.879,9,-1.167,1,0.129,0.124,0.0000117,0.244,0.671,146.959,4
spotify:track:2zrhoHlFKxFTRF5aMyxMoQ,"Next Level","Next Level","aespa",2021-05-17,221573,70,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2023-05-14T15:11:49Z,"k-pop","SM Entertainment",0.82,0.852,11,-2.567,0,0.166,0.488,0.00000594,0.0907,0.82,109.036,4
spotify:track:1ULdASrNy5rurl1TZfFaMP,"Spicy","MY WORLD - The 3rd Mini Album","aespa",2023-05-08,197040,60,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2023-05-14T15:12:35Z,"k-pop","SM Entertainment / Warner Records",0.757,0.898,11,-1.247,0,0.0667,0.0138,0,0.0703,0.842,114.949,4
spotify:track:1hQtfLmNABXQMSjjYRXqAX,"ALREADY","I NEVER DIE","i-dle",2022-03-14,201546,0,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2023-05-14T15:12:37Z,"k-pop","Cube Entertainment",0.663,0.762,2,-4.568,0,0.174,0.571,0.00000784,0.161,0.662,91.832,4
spotify:track:38rUIlTX93Aoif3WcY1wv6,"DALLA DALLA","IT'z Different","ITZY",2019-02-12,199873,66,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2023-05-14T15:12:57Z,"k-pop","Republic Records - ITZY",0.79,0.853,11,-4.564,0,0.0666,0.00116,0.0000423,0.329,0.713,125,4
spotify:track:0yFq4GHDqLfeceyAs63B3W,"Kick It","NCT #127 Neo Zone - The 2nd Album","NCT 127",2020-03-06,233013,59,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2023-05-14T15:13:52Z,"k-pop,noise music","SM Entertainment",0.681,0.847,7,-2.462,1,0.0869,0.0306,0,0.0808,0.507,167.031,4
spotify:track:1hXbbVF57nIcxIugYYtdms,"Kick Back","Kick Back - The 3rd Mini Album","WayV",2021-03-10,230773,49,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2023-05-14T15:15:00Z,"k-pop,c-pop,noise music","LABEL V",0.643,0.862,2,-3.166,1,0.0744,0.0268,0,0.0801,0.318,90.025,4
spotify:track:1TF9k6wfT1rkHnRp1AqAum,"Low Low","Low Low","WayV-TEN&YANGYANG",2021-08-17,177026,49,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2023-05-14T15:15:07Z,"k-pop","LABEL V",0.824,0.786,8,-3.074,0,0.0487,0.229,0,0.157,0.835,91.051,4
spotify:track:3lOMJTQTd6J34faYwASc33,"POP!","IM NAYEON","NAYEON",2022-06-24,168106,73,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2023-05-14T15:15:28Z,"k-pop","Republic Records – NAYEON (TWICE)",0.795,0.859,2,-2.994,1,0.0542,0.0361,0,0.0321,0.356,96.986,4
spotify:track:14BZoPmcsFyEn5GConmO3x,"Work It","NCT RESONANCE Pt. 2 - The 2nd Album","NCT U",2020-11-23,175360,46,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2023-05-14T15:15:54Z,"k-pop,noise music","SM Entertainment",0.789,0.87,7,-2.312,0,0.0458,0.0146,0.000181,0.121,0.49,122.992,4
spotify:track:1Q5SpQeocfNXefx76svqkl,"Make A Wish (Birthday Song)","NCT RESONANCE Pt. 1 - The 2nd Album","NCT U",2020-10-12,229400,61,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2023-05-14T15:16:00Z,"k-pop,noise music","SM Entertainment",0.732,0.795,8,-2.263,1,0.1,0.0632,0,0.0569,0.693,100.954,4
spotify:track:4ER58qECydWokIsgqtysWu,"Just Right","Just Right","GOT7",2015-07-13,222398,0,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2023-05-14T15:16:20Z,"k-pop","JYP Entertainment",0.76,0.781,11,-2.881,0,0.0641,0.233,0,0.106,0.736,95.97,4
spotify:track:70t7Q6AYG6ZgTYmJWcnkUM,"I AM","I've IVE","IVE",2023-04-10,183853,76,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2023-05-14T15:16:32Z,"k-pop","Starship Entertainment",0.683,0.875,4,-4.866,0,0.0549,0.0115,0,0.084,0.384,122.002,4
spotify:track:0bC7GKnxh9W9JIvJ6HVWxc,"FLOWER","ME","JISOO",2023-03-31,174216,70,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2023-05-14T15:16:35Z,"k-pop","YG Entertainment",0.843,0.389,9,-7.664,0,0.036,0.032,0.00000525,0.109,0.635,123.967,4
spotify:track:0Q5VnK2DYzRyfqQRJuUtvi,"LOVE DIVE","LOVE DIVE","IVE",2022-04-05,177186,73,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2023-05-14T15:16:47Z,"k-pop","STARSHIP Entertainment",0.703,0.709,1,-4.169,0,0.0433,0.00379,0.0000543,0.333,0.538,117.941,4
spotify:track:0nwTMzpatarzvLvtwwzdCt,"Thunderous","NOEASY","Stray Kids",2021-08-23,183266,72,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2023-05-14T15:17:12Z,"k-pop,noise music","Republic Records - Stray Kids",0.601,0.786,1,-3.706,1,0.234,0.213,0,0.209,0.79,172.156,4
spotify:track:6Tj9KfzPp7tmgcDdsaPwGE,"Black Mamba","Girls - The 2nd Mini Album","aespa",2022-07-08,174933,64,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2023-05-14T15:18:40Z,"k-pop","SM Entertainment / Warner Records",0.612,0.912,2,-2.853,1,0.0796,0.064,0.000799,0.0843,0.472,90.006,4
spotify:track:6Upu6yjkdi0DVI8E3IBZEU,"Don't Wanna Cry","Al1","SEVENTEEN",2017-05-22,203426,67,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2023-05-14T15:22:20Z,"k-pop","PLEDIS ENTERTAINMENT",0.781,0.683,0,-4.258,1,0.0325,0.164,0.00000153,0.16,0.722,100.005,4
spotify:track:4uOBL4DDWWVx4RhYKlPbPC,"Queencard","I feel","i-dle",2023-05-15,161240,7,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2023-05-16T14:23:32Z,"k-pop","Cube Entertainment",0.815,0.834,4,-2.828,0,0.0475,0.0327,0.000268,0.27,0.692,129.989,4
spotify:track:4rnvC8St4YDHGuQdBEByRz,"My My","Heng:garæ","SEVENTEEN",2020-06-22,185253,56,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2023-05-20T06:19:23Z,"k-pop","PLEDIS Entertainment",0.682,0.882,0,-3.384,1,0.0678,0.14,0,0.0804,0.558,100.075,4
